JENIS,NOFAKTUR,TGL,NOSO,TUTUPSO,JATUHTEMPO,KODECUSTOMER,NAMACUSTOMER,ALAMATCUSTOMER,KODESALESMAN,NAMASALESMAN,KODEGUDANG,NAMAGUDANG,KODEBARANG,NAMABARANG,QTY,HARGAJUAL,SATUANKECIL,PDISCOUNTITEM,PDISCOUNTITEM2,PDISCOUNTITEM3,DISCOUNTITEM,NETTO,KETERANGAN,KODESUPLIER,NAMASUPLIER
JUAL,261.000.030,05/01/2026 0:00,2512260756,T,,D.616,PB.BAROKAH,CIPANJAR 242 CIWARUGA CIGUGUR GIRANG,Y,KEN - Y,1,GUDANG BAIK,2104042,Shintex Wall Paint Super White 5KG,4.00,"110,000.00",GLN,7.50,0.00,0.00,"33,000.00","407,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.033,05/01/2026 0:00,2512310901,T,,K.410,SUMBER JAYA,PUNGKUR 21,L,RUDI *,1,GUDANG BAIK,2101387,Crystal Coat Clear Gloss  1 LITER,3.00,"657,000.00",KL,10.00,0.00,0.00,"197,100.00","1,773,900.00",,1,"INDOWIRA, PT"
JUAL,261.000.034,05/01/2026 0:00,2512310899,T,,N.888,SUMBER WARNA,PUNGKUR,14,DEPO BANDUNG,1,GUDANG BAIK,2103145,Petalac Thinner PU  1 LTR,18.00,"51,000.00",KL,0.00,0.00,0.00,0.00,"918,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.034,05/01/2026 0:00,2512310899,T,,N.888,SUMBER WARNA,PUNGKUR,14,DEPO BANDUNG,1,GUDANG BAIK,2102840,Petalac 2K PU Hardener Special  200 CC,6.00,"55,000.00",KL,7.50,2.50,0.00,"32,381.28","297,618.72",,1,"INDOWIRA, PT"
JUAL,261.000.034,05/01/2026 0:00,2512310899,T,,N.888,SUMBER WARNA,PUNGKUR,14,DEPO BANDUNG,1,GUDANG BAIK,2200050,"Petalac 2K PU Clear Matt MV3 Base 0,8Lt",6.00,"121,000.00",KL,7.50,2.50,0.00,"71,238.72","654,761.28",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104184,Wiratex Wall Paint 849 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104183,Wiratex Wall paint 848 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104182,Wiratex Wall Paint 847 Spring 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104171,Wiratex Wall Paint 830 Blue Be 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104170,Wiratex Wall Paint 829 Deep Pi 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104161,Wiratex Wall Paint 812 Ice Blu 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104181,Wiratex Wall Paint 846 Plum Fr 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104180,Wiratex Wall Paint 845 River S 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,12.00,"83,000.00",GL,7.50,0.00,0.00,"74,700.00","921,300.00",,1,"INDOWIRA, PT"
JUAL,261.000.036,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2102178,Mascot Wall Paint Super White 5 KG,4.00,"65,000.00",GLN,7.50,0.00,0.00,"19,500.00","240,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.037,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104157,Wiratex Wall Paint 806 Cream 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.037,05/01/2026 0:00,2601050010,T,,A.110,NANJUNG JAYA,PASIRKOJA 195,Y,KEN - Y,1,GUDANG BAIK,2104164,Wiratex Wall Paint 822 Palazo 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.039,05/01/2026 0:00,2601050008,T,,J.234,KRIYA NUSANTARA GROUP,JL.CIBIRU HILIR NO.36 CIBIRU WETAN CILEUNYI,J,FRANSISKUS,1,GUDANG BAIK,2300092,Petalac Hardener Special Black Matt 200CC,1.00,"55,000.00",KL,10.00,0.00,0.00,"5,500.00","49,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.039,05/01/2026 0:00,2601050008,T,,J.234,KRIYA NUSANTARA GROUP,JL.CIBIRU HILIR NO.36 CIBIRU WETAN CILEUNYI,J,FRANSISKUS,1,GUDANG BAIK,2300088,Petalac 2K PU Colour Base Black Matt 0.8LT,1.00,"133,000.00",KL,10.00,0.00,0.00,"13,300.00","119,700.00",,1,"INDOWIRA, PT"
JUAL,261.000.040,05/01/2026 0:00,2601050007,T,,J.234,KRIYA NUSANTARA GROUP,JL.CIBIRU HILIR NO.36 CIBIRU WETAN CILEUNYI,J,FRANSISKUS,1,GUDANG BAIK,2101416,Crystal Coat Thinner  1 LITER,20.00,"51,000.00",KL,0.00,0.00,0.00,0.00,"1,020,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.040,05/01/2026 0:00,2601050007,T,,J.234,KRIYA NUSANTARA GROUP,JL.CIBIRU HILIR NO.36 CIBIRU WETAN CILEUNYI,J,FRANSISKUS,1,GUDANG BAIK,2101387,Crystal Coat Clear Gloss  1 LITER,6.00,"657,000.00",KL,10.00,0.00,0.00,"394,200.00","3,547,800.00",,1,"INDOWIRA, PT"
JUAL,261.000.041,05/01/2026 0:00,2601050005,T,,K.201,AGUS CENDANA,KIRCON 141,L,RUDI *,1,GUDANG BAIK,2102840,Petalac 2K PU Hardener Special  200 CC,6.00,"55,000.00",KL,10.00,0.00,0.00,"33,000.00","297,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.041,05/01/2026 0:00,2601050005,T,,K.201,AGUS CENDANA,KIRCON 141,L,RUDI *,1,GUDANG BAIK,2200050,"Petalac 2K PU Clear Matt MV3 Base 0,8Lt",6.00,"121,000.00",KL,10.00,0.00,0.00,"72,600.00","653,400.00",,1,"INDOWIRA, PT"
JUAL,261.000.043,05/01/2026 0:00,2601050018,T,,K.410,SUMBER JAYA,PUNGKUR 21,L,RUDI *,1,GUDANG BAIK,2101377,Crystal Coat Candytone Vergoldet 1lts,1.00,"657,000.00",KL,10.00,5.00,0.00,"95,265.00","561,735.00",,1,"INDOWIRA, PT"
JUAL,261.000.044,05/01/2026 0:00,2601050015,T,,Y.285,KENARI JAYA,JL.SINDANG SARI NO.3 CIJERAH,Y,KEN - Y,1,GUDANG BAIK,2104171,Wiratex Wall Paint 830 Blue Be 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.044,05/01/2026 0:00,2601050015,T,,Y.285,KENARI JAYA,JL.SINDANG SARI NO.3 CIJERAH,Y,KEN - Y,1,GUDANG BAIK,2104191,Wiratex Wall Paint Putih Salju 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.044,05/01/2026 0:00,2601050015,T,,Y.285,KENARI JAYA,JL.SINDANG SARI NO.3 CIJERAH,Y,KEN - Y,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,8.00,"83,000.00",GL,7.50,0.00,0.00,"49,800.00","614,200.00",,1,"INDOWIRA, PT"
JUAL,261.000.044,05/01/2026 0:00,2601050015,T,,Y.285,KENARI JAYA,JL.SINDANG SARI NO.3 CIJERAH,Y,KEN - Y,1,GUDANG BAIK,2102178,Mascot Wall Paint Super White 5 KG,4.00,"65,000.00",GLN,7.50,0.00,0.00,"19,500.00","240,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.044,05/01/2026 0:00,2601050015,T,,Y.285,KENARI JAYA,JL.SINDANG SARI NO.3 CIJERAH,Y,KEN - Y,1,GUDANG BAIK,2104119,Wiratex Wall Paint 820 Apple W 25 KG,2.00,"390,000.00",PL,7.50,0.00,0.00,"58,500.00","721,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.045,05/01/2026 0:00,2601050014,T,,Y.255,TB.REGENCY,JL.SUPARMIN NO.11 LANUD HUSEN,Y,KEN - Y,1,GUDANG BAIK,2103863,Shintex Wall Filler  1 KG,4.00,"23,000.00",KL,7.50,0.00,0.00,"6,900.00","85,100.00",,1,"INDOWIRA, PT"
JUAL,261.000.047,05/01/2026 0:00,2601050020,T,,D.131,SINAR MAS,TKI III D4 NO.17,D,WILLY,1,GUDANG BAIK,2104042,Shintex Wall Paint Super White 5KG,4.00,"110,000.00",GLN,7.50,0.00,0.00,"33,000.00","407,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.048,05/01/2026 0:00,2601050019,T,,R.574,TB.RIZKY GYPSUM,JL.CIMENTENG MARTASIK CIPAGERAN RT.01/11,R,SIMON QIRENE,1,GUDANG BAIK,2200341,Kingkong WAll Paint 105 Chiffon 4.5KG,4.00,"76,000.00",GLN,7.50,0.00,0.00,"22,800.00","281,200.00",,1,"INDOWIRA, PT"
JUAL,261.000.048,05/01/2026 0:00,2601050019,T,,R.574,TB.RIZKY GYPSUM,JL.CIMENTENG MARTASIK CIPAGERAN RT.01/11,R,SIMON QIRENE,1,GUDANG BAIK,2200222,Kingkong Wall Paint Putih Metropolitan 4.5KG,4.00,"76,000.00",GLN,7.50,0.00,0.00,"22,800.00","281,200.00",,1,"INDOWIRA, PT"
JUAL,261.000.049,05/01/2026 0:00,2601050025,T,,J.422,TC.SUMBER SARANA WARNA,GRIYA PATARUMAN ASRI BLOK C2 NO.18 RT.001/011 PATOKAN MESJ8ID AL MUHAJ,J,FRANSISKUS,1,GUDANG BAIK,2100049,Adler Polyester Putty 3002  1 KG SET,12.00,"62,000.00",KL,10.00,0.00,0.00,"74,400.00","669,600.00",,1,"INDOWIRA, PT"
JUAL,261.000.050,05/01/2026 0:00,2601050013,T,,D.223,TB.PUTRA ABADI,JL.BIMA NO.129 022-6123038,Y,KEN - Y,1,GUDANG BAIK,2103863,Shintex Wall Filler  1 KG,12.00,"23,000.00",KL,7.50,0.00,0.00,"20,700.00","255,300.00",,1,"INDOWIRA, PT"
JUAL,261.000.050,05/01/2026 0:00,2601050013,T,,D.223,TB.PUTRA ABADI,JL.BIMA NO.129 022-6123038,Y,KEN - Y,1,GUDANG BAIK,2100006,Alfa Polyester Putty  1 KG,6.00,"39,000.00",KL,5.00,0.00,0.00,"11,700.00","222,300.00",,1,"INDOWIRA, PT"
JUAL,261.000.050,05/01/2026 0:00,2601050013,T,,D.223,TB.PUTRA ABADI,JL.BIMA NO.129 022-6123038,Y,KEN - Y,1,GUDANG BAIK,2103922,Shintex Wall Paint Super White 1KG,12.00,"32,000.00",KL,7.50,0.00,0.00,"28,800.00","355,200.00",,1,"INDOWIRA, PT"
JUAL,261.000.051,05/01/2026 0:00,2601050012,T,,Y.241,TB.HURIP JAYA,CIKUTRA NO.129 A,Y,KEN - Y,1,GUDANG BAIK,2102178,Mascot Wall Paint Super White 5 KG,8.00,"65,000.00",GLN,7.50,0.00,0.00,"39,000.00","481,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.052,05/01/2026 0:00,2601050011,T,,Y.294,BERKAH ABADI 5,JL.ENCEP KARTIWA CITEUREUP 41C,Y,KEN - Y,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,20.00,"83,000.00",GL,7.50,0.00,0.00,"124,500.00","1,535,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.052,05/01/2026 0:00,2601050011,T,,Y.294,BERKAH ABADI 5,JL.ENCEP KARTIWA CITEUREUP 41C,Y,KEN - Y,1,GUDANG BAIK,2103863,Shintex Wall Filler  1 KG,12.00,"23,000.00",KL,7.50,0.00,0.00,"20,700.00","255,300.00",,1,"INDOWIRA, PT"
JUAL,261.000.052,05/01/2026 0:00,2601050011,T,,Y.294,BERKAH ABADI 5,JL.ENCEP KARTIWA CITEUREUP 41C,Y,KEN - Y,1,GUDANG BAIK,2103922,Shintex Wall Paint Super White 1KG,12.00,"32,000.00",KL,7.50,0.00,0.00,"28,800.00","355,200.00",,1,"INDOWIRA, PT"
JUAL,261.000.054,05/01/2026 0:00,2601050037,T,,U.279,BERKAH ABADI 3,JL.CITUNJUNG RT.03 RW.05 BATUJAJAR,U,GANIS,1,GUDANG BAIK,2103816,Shintex Cat Genteng 310 Willow 4KG,4.00,"185,000.00",GLN,7.50,0.00,0.00,"55,500.00","684,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.054,05/01/2026 0:00,2601050037,T,,U.279,BERKAH ABADI 3,JL.CITUNJUNG RT.03 RW.05 BATUJAJAR,U,GANIS,1,GUDANG BAIK,2103811,Shintex Cat Genteng 303 Gold Ac 4KG,4.00,"185,000.00",GLN,7.50,0.00,0.00,"55,500.00","684,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.054,05/01/2026 0:00,2601050037,T,,U.279,BERKAH ABADI 3,JL.CITUNJUNG RT.03 RW.05 BATUJAJAR,U,GANIS,1,GUDANG BAIK,2103818,Shintex Cat Genteng 315 Side Gr 4KG,4.00,"185,000.00",GLN,7.50,0.00,0.00,"55,500.00","684,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.054,05/01/2026 0:00,2601050037,T,,U.279,BERKAH ABADI 3,JL.CITUNJUNG RT.03 RW.05 BATUJAJAR,U,GANIS,1,GUDANG BAIK,2103835,Shintex Cat Genteng Sp 306 Tropic 4 KG,8.00,"231,000.00",GLN,7.50,0.00,0.00,"138,600.00","1,709,400.00",,1,"INDOWIRA, PT"
JUAL,261.000.054,05/01/2026 0:00,2601050037,T,,U.279,BERKAH ABADI 3,JL.CITUNJUNG RT.03 RW.05 BATUJAJAR,U,GANIS,1,GUDANG BAIK,2103819,Shintex Cat Genteng 316 Minimal Grey 4KG,8.00,"185,000.00",GLN,7.50,0.00,0.00,"111,000.00","1,369,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.055,05/01/2026 0:00,2601050036,T,,I.509,LEMBANG,RAYA LEMBANG 281,U,GANIS,1,GUDANG BAIK,2104184,Wiratex Wall Paint 849 5KG,4.00,"83,000.00",GL,7.50,0.00,0.00,"24,900.00","307,100.00",,1,"INDOWIRA, PT"
JUAL,261.000.055,05/01/2026 0:00,2601050036,T,,I.509,LEMBANG,RAYA LEMBANG 281,U,GANIS,1,GUDANG BAIK,2104180,Wiratex Wall Paint 845 River S 5KG,4.00,"83,000.00",GL,7.50,0.00,0.00,"24,900.00","307,100.00",,1,"INDOWIRA, PT"
JUAL,261.000.056,05/01/2026 0:00,2601050001,T,,Y.291,BERKAH ABADI 2,PERTIGAAN PATROL - PARONGPONG,Y,KEN - Y,1,GUDANG BAIK,2104182,Wiratex Wall Paint 847 Spring 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.056,05/01/2026 0:00,2601050001,T,,Y.291,BERKAH ABADI 2,PERTIGAAN PATROL - PARONGPONG,Y,KEN - Y,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.056,05/01/2026 0:00,2601050001,T,,Y.291,BERKAH ABADI 2,PERTIGAAN PATROL - PARONGPONG,Y,KEN - Y,1,GUDANG BAIK,2104148,Wiratex Wall Paint Super White 25 KG,1.00,"390,000.00",PL,7.50,0.00,0.00,"29,250.00","360,750.00",,1,"INDOWIRA, PT"
JUAL,261.000.057,05/01/2026 0:00,2601050003,T,,Y.284,PUTRA SEJATI 3,RANCA BENTANG NO.3,Y,KEN - Y,1,GUDANG BAIK,2103922,Shintex Wall Paint Super White 1KG,4.00,"32,000.00",KL,7.50,0.00,0.00,"9,600.00","118,400.00",,1,"INDOWIRA, PT"
JUAL,261.000.057,05/01/2026 0:00,2601050003,T,,Y.284,PUTRA SEJATI 3,RANCA BENTANG NO.3,Y,KEN - Y,1,GUDANG BAIK,2104140,Wiratex Wall Paint 849 25 KG,1.00,"390,000.00",PL,7.50,0.00,0.00,"29,250.00","360,750.00",,1,"INDOWIRA, PT"
JUAL,261.000.058,05/01/2026 0:00,2601050029,T,,R.523,MITRA KARYA PROSPEKTA,PERUM PANGAUBAN JL.RAYA PANGAUBAN DS.PANGAUBAN,13,BU RINI,1,GUDANG BAIK,2200370,Kingkong Wall Paint 110 Irish W 18KG,4.00,"288,000.00",PAIL,0.00,0.00,0.00,0.00,"1,152,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.058,05/01/2026 0:00,2601050029,T,,R.523,MITRA KARYA PROSPEKTA,PERUM PANGAUBAN JL.RAYA PANGAUBAN DS.PANGAUBAN,13,BU RINI,1,GUDANG BAIK,2300063,Kingkong Wall Paint 110 Irish W 4.5KG,8.00,"76,000.00",GLN,0.00,0.00,0.00,0.00,"608,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.058,05/01/2026 0:00,2601050029,T,,R.523,MITRA KARYA PROSPEKTA,PERUM PANGAUBAN JL.RAYA PANGAUBAN DS.PANGAUBAN,13,BU RINI,1,GUDANG BAIK,2200252,Kingkong Wall Paint 128 Minimal 4.5KG,20.00,"76,000.00",GLN,0.00,0.00,0.00,0.00,"1,520,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.058,05/01/2026 0:00,2601050029,T,,R.523,MITRA KARYA PROSPEKTA,PERUM PANGAUBAN JL.RAYA PANGAUBAN DS.PANGAUBAN,13,BU RINI,1,GUDANG BAIK,2104093,Wiratex Ceiling & Gypsum Paint Putih Prima 5 KG,12.00,"79,000.00",GLN,0.00,0.00,0.00,0.00,"948,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2104157,Wiratex Wall Paint 806 Cream 5KG,2.00,"83,000.00",GL,7.50,0.00,0.00,"12,450.00","153,550.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2104163,Wiratex Wall Paint 820 Apple W 5KG,4.00,"83,000.00",GL,7.50,0.00,0.00,"24,900.00","307,100.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2104180,Wiratex Wall Paint 845 River S 5KG,4.00,"83,000.00",GL,7.50,0.00,0.00,"24,900.00","307,100.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,4.00,"83,000.00",GL,7.50,0.00,0.00,"24,900.00","307,100.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2102164,Mascot Wall Paint 209 Spanish 5 KG,2.00,"65,000.00",GLN,7.50,0.00,0.00,"9,750.00","120,250.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2102177,Mascot Wall Paint Putih Metro 5 KG,2.00,"65,000.00",GLN,7.50,0.00,0.00,"9,750.00","120,250.00",,1,"INDOWIRA, PT"
JUAL,261.000.059,05/01/2026 0:00,2601050038,T,,G.227,MUTIARA WARNA,JL.SOMAWINATA 14 TANI MULYA,G,JULIANTO,1,GUDANG BAIK,2102178,Mascot Wall Paint Super White 5 KG,8.00,"65,000.00",GLN,7.50,0.00,0.00,"39,000.00","481,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.060,05/01/2026 0:00,2601050028,T,,B.404,BARU,RAYA 494 CIMAHI,C,YONATHAN,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,8.00,"83,000.00",GL,7.50,0.00,0.00,"49,800.00","614,200.00",,1,"INDOWIRA, PT"
JUAL,261.000.060,05/01/2026 0:00,2601050028,T,,B.404,BARU,RAYA 494 CIMAHI,C,YONATHAN,1,GUDANG BAIK,2104148,Wiratex Wall Paint Super White 25 KG,1.00,"390,000.00",PL,7.50,0.00,0.00,"29,250.00","360,750.00",,1,"INDOWIRA, PT"
JUAL,261.000.061,05/01/2026 0:00,2601050040,T,,K.304,"HEGAR SUMBER KREASI,PT",JL.PARALON 1 NO.1 CIJERAH,L,RUDI *,1,GUDANG BAIK,2100006,Alfa Polyester Putty  1 KG,60.00,"39,000.00",KL,5.00,0.00,0.00,"117,000.00","2,223,000.00",,1,"INDOWIRA, PT"
JUAL,261.000.062,05/01/2026 0:00,2601050023,T,,A.422,TEGUH RAHAYU,CIHANJUANG 26 B,Y,KEN - Y,1,GUDANG BAIK,2102178,Mascot Wall Paint Super White 5 KG,12.00,"65,000.00",GLN,7.50,0.00,0.00,"58,500.00","721,500.00",,1,"INDOWIRA, PT"
JUAL,261.000.063,05/01/2026 0:00,2601050043,T,,J.313,ART DECO,JL.SEKEKUKUMBUNG 103 TKI II,J,FRANSISKUS,1,GUDANG BAIK,2101412,Crystal Coat Surfacer White 24 KG SET,1.00,"2,156,000.00",PL,10.00,0.00,0.00,"215,600.00","1,940,400.00",,1,"INDOWIRA, PT"
JUAL,261.000.063,05/01/2026 0:00,2601050043,T,,J.313,ART DECO,JL.SEKEKUKUMBUNG 103 TKI II,J,FRANSISKUS,1,GUDANG BAIK,2103148,Petalac Thinner PU  20 LTR,1.00,"834,000.00",JRG,0.00,0.00,0.00,0.00,"834,000.00",,1,"INDOWIRA, PT"
